Point;Lat;Lon;Channel
Pontón Recalada - BRBL Km 239,1;-35,078189;-55,987971;Punta Indio
BRL Km 216,0;-35,157924;-56,222946;Punta Indio
BVL Km 216,0;-35,161022;-56,221270;Punta Indio
BRL Km 210,0;-35,169034;-56,285407;Punta Indio
BVL Km 210,0;-35,172458;-56,285268;Punta Indio
BRL Km 201,6;-35,164721;-56,368973;Punta Indio
BVL Km 201,6;-35,168146;-56,368947;Punta Indio
BRL Km 194,4;-35,165449;-56,453814;Punta Indio
BVL Km 194,4;-35,168874;-56,453791;Punta Indio
BRL Km 182,7;-35,166641;-56,594415;Punta Indio
BVL Km 182,7;-35,170012;-56,594398;Punta Indio
BRL Km 150,0;-35,163018;-56,947534;Punta Indio
BVL Km 150,1;-35,166488;-56,947696;Punta Indio
BRL Km 140,8;-35,138597;-57,036978;Punta Indio
BVL Km 140,8;-35,141165;-57,039723;Punta Indio
BRL Km 118,5;-34,995017;-57,207572;Punta Indio
BVL Km 118,5;-34,997310;-57,210699;Punta Indio
BRBL Km 99,2;-34,867608;-57,345053;Intermedio
BRL Km 48,0;-34,706104;-57,865583;Rada La Plata / Zona Comun
;;;
;;;
